ZI-C sensitivity (per-round means over 2000 rounds; book=clear)
  lo    hi  pass    T | trades alpha  eff
0.00  4.00   0.0   50 |  2.66  21.6 0.506
0.00  4.00   0.0  100 |  4.33  21.6 0.779
0.00  4.00   0.0  300 |  5.82  20.6 0.956
0.00  4.00   0.5   50 |  1.37  21.4 0.268
0.00  4.00   0.5  100 |  2.64  21.6 0.507
0.00  4.00   0.5  300 |  5.16  21.1 0.892
0.00  4.00   0.8   50 |  0.44  22.7 0.090
0.00  4.00   0.8  100 |  1.05  21.5 0.213
0.00  4.00   0.8  300 |  3.06  21.8 0.581
0.00  3.25   0.0   50 |  3.03  21.8 0.565
0.00  3.25   0.0  100 |  4.73  21.4 0.827
0.00  3.25   0.0  300 |  5.94  20.4 0.955
0.00  3.25   0.5   50 |  1.62  21.2 0.311
0.00  3.25   0.5  100 |  3.02  21.4 0.563
0.00  3.25   0.5  300 |  5.43  20.7 0.918
0.00  3.25   0.8   50 |  0.56  22.3 0.110
0.00  3.25   0.8  100 |  1.28  21.0 0.250
0.00  3.25   0.8  300 |  3.46  21.8 0.639
0.00  6.00   0.0   50 |  2.01  22.5 0.398
0.00  6.00   0.0  100 |  3.61  22.5 0.679
0.00  6.00   0.0  300 |  5.57  21.7 0.943
0.00  6.00   0.5   50 |  0.99  23.1 0.200
0.00  6.00   0.5  100 |  1.99  22.5 0.394
0.00  6.00   0.5  300 |  4.52  22.2 0.821
0.00  6.00   0.8   50 |  0.30  24.1 0.061
0.00  6.00   0.8  100 |  0.76  22.7 0.154
0.00  6.00   0.8  300 |  2.36  22.8 0.462
0.50  3.50   0.0   50 |  3.14  21.0 0.581
0.50  3.50   0.0  100 |  4.87  21.3 0.843
0.50  3.50   0.0  300 |  5.96  19.9 0.956
0.50  3.50   0.5   50 |  1.68  21.0 0.325
0.50  3.50   0.5  100 |  3.15  21.2 0.585
0.50  3.50   0.5  300 |  5.53  20.8 0.923
0.50  3.50   0.8   50 |  0.59  21.8 0.116
0.50  3.50   0.8  100 |  1.34  20.9 0.261
0.50  3.50   0.8  300 |  3.56  21.5 0.655
0.75  3.25   0.0   50 |  3.48  21.1 0.626
0.75  3.25   0.0  100 |  5.17  20.5 0.874
0.75  3.25   0.0  300 |  6.03  19.7 0.957
0.75  3.25   0.5   50 |  1.93  20.8 0.362
0.75  3.25   0.5  100 |  3.45  20.8 0.624
0.75  3.25   0.5  300 |  5.72  20.2 0.933
0.75  3.25   0.8   50 |  0.68  21.1 0.133
0.75  3.25   0.8  100 |  1.53  21.0 0.291
0.75  3.25   0.8  300 |  3.96  21.0 0.707

ZI-C(0,4) T=300: missed positive-surplus buyers per round=0.12, extramarginal participants per round=0.73
max efficiency with k trades: {0: 0.0, 1: 0.333, 2: 0.6, 3: 0.8, 4: 0.933, 5: 1.0, 6: 1.0}
