a1   a0   f    b(solved) | K=1   K=2   K=3   K=5  | with random critic d=0.3: K=2  K=3  K=5
0.7  0.2  0.2  0.159     | 0.770  0.788  0.805  0.825  |   0.755  0.770  0.797
0.7  0.2  0.4  0.319     | 0.770  0.807  0.832  0.855  |   0.752  0.781  0.818
0.7  0.2  0.6  0.478     | 0.770  0.825  0.852  0.872  |   0.760  0.793  0.831
0.7  0.4  0.2  0.119     | 0.770  0.778  0.784  0.790  |   0.759  0.765  0.775
0.7  0.4  0.4  0.239     | 0.770  0.787  0.796  0.803  |   0.754  0.766  0.781
0.7  0.4  0.6  0.358     | 0.770  0.795  0.806  0.812  |   0.754  0.770  0.785
0.7  0.6  0.2  0.080     | 0.770  0.772  0.773  0.774  |   0.766  0.767  0.769
0.7  0.6  0.4  0.159     | 0.770  0.774  0.775  0.776  |   0.763  0.765  0.768
0.7  0.6  0.6  0.239     | 0.770  0.776  0.778  0.779  |   0.761  0.765  0.768
0.8  0.2  0.2  0.239     | 0.770  0.792  0.810  0.829  |   0.738  0.757  0.788
0.8  0.2  0.4  0.478     | 0.770  0.814  0.840  0.862  |   0.730  0.766  0.807
0.8  0.2  0.6  0.717     | 0.770  0.836  0.861  0.880  |   0.744  0.776  0.818
0.8  0.4  0.2  0.179     | 0.770  0.781  0.788  0.794  |   0.746  0.754  0.767
0.8  0.4  0.4  0.358     | 0.770  0.792  0.803  0.809  |   0.734  0.751  0.769
0.8  0.4  0.6  0.538     | 0.770  0.803  0.814  0.820  |   0.734  0.753  0.771
0.8  0.6  0.2  0.119     | 0.770  0.774  0.776  0.776  |   0.756  0.759  0.762
0.8  0.6  0.4  0.239     | 0.770  0.777  0.780  0.781  |   0.747  0.753  0.758
0.8  0.6  0.6  0.358     | 0.770  0.781  0.784  0.785  |   0.743  0.750  0.756
0.9  0.2  0.2  0.478     | 0.770  0.796  0.814  0.833  |   0.691  0.716  0.752
0.9  0.2  0.4  0.956     | 0.770  0.822  0.846  0.867  |   0.679  0.711  0.759
0.9  0.4  0.2  0.358     | 0.770  0.784  0.791  0.797  |   0.706  0.718  0.734
0.9  0.4  0.4  0.717     | 0.770  0.798  0.808  0.814  |   0.680  0.702  0.723
0.9  0.6  0.2  0.239     | 0.770  0.776  0.778  0.779  |   0.727  0.731  0.736
0.9  0.6  0.4  0.478     | 0.770  0.781  0.784  0.785  |   0.702  0.712  0.719
0.9  0.6  0.6  0.717     | 0.770  0.787  0.790  0.791  |   0.693  0.700  0.708

admissible parameter sets: 25; gain K=3 over K=1: min 0.3pp, median 2.6pp, max 9.1pp
